TestSeason,TrainSeasons,Circuit,TotalLaps,PredictedStopLap,PredictedStopLapLinearOnly,PredictedStopLapWithCurvature,HalfDistanceBaseline,PersistenceBaseline,ActualStopLap,PredictedStops,ActualStops,StopLapError,LinearOnlyError,WithCurvatureError,BaselineError,PersistenceError,StopCountCorrect,OneStopFeasible,WetAffected
2023,2022,Bahrain,57,18.0,18.0,18.0,28.5,21.5,12.0,2,2.0,6.0,6.0,6.0,16.5,9.5,True,False,False
2023,2022,Great Britain,52,30.0,30.0,30.0,26.0,20.0,27.0,1,1.0,3.0,3.0,3.0,-1.0,-7.0,True,True,False
2023,2022,Hungary,70,22.0,22.0,10.0,35.0,17.5,16.0,2,2.0,6.0,6.0,-6.0,19.0,1.5,True,True,False
2023,2022,Netherlands,72,39.0,39.0,39.0,36.0,14.0,2.0,1,4.0,37.0,37.0,37.0,34.0,12.0,False,True,True
2023,2022,Spain,66,21.0,21.0,21.0,33.0,12.5,15.5,2,2.0,5.5,5.5,5.5,17.5,-3.0,True,False,False
2023,2022,United States,56,35.0,35.0,35.0,28.0,13.0,17.0,1,2.0,18.0,18.0,18.0,11.0,-4.0,False,True,False
2024,"2022,2023",Bahrain,57,15.0,15.0,15.0,28.5,16.75,12.5,2,2.0,2.5,2.5,2.5,16.0,4.25,True,True,False
2024,"2022,2023",Great Britain,52,25.0,25.0,25.0,26.0,23.5,26.0,1,2.0,-1.0,-1.0,-1.0,0.0,-2.5,False,True,True
2024,"2022,2023",Hungary,70,21.0,21.0,25.0,35.0,16.75,16.0,2,2.0,5.0,5.0,9.0,19.0,0.75,True,True,False
2024,"2022,2023",Netherlands,72,45.0,45.0,45.0,36.0,8.0,27.5,1,1.0,17.5,17.5,17.5,8.5,-19.5,True,True,False
2024,"2022,2023",Spain,66,21.0,21.0,21.0,33.0,14.0,15.0,2,2.0,6.0,6.0,6.0,18.0,-1.0,True,True,False
2024,"2022,2023",United States,56,30.0,30.0,14.0,28.0,15.0,26.0,2,1.0,4.0,4.0,-12.0,2.0,-11.0,False,True,False
