Circuit,Compound,IsReference,NLaps,RawOffsetSec,OffsetCILow,OffsetCIHigh,JointDegSecPerLap,JointDegCILow,JointDegCIHigh,FuelOverlap,OffsetIdentified,OffsetSec
Bahrain,HARD,True,668,0.0,0.0,0.0,0.10898490938059936,0.10075667991644068,0.11866015400930283,1.0,True,0.0
Bahrain,SOFT,False,246,0.017818551254353023,-0.26692670273792457,0.3171741045529538,0.1232696491941461,0.09836961639846228,0.14938589293511936,0.5250000000000001,True,0.017818551254353023
Great Britain,SOFT,False,137,-0.16661840672056621,-0.6936031267145756,0.5411996550454794,0.14152264291005806,0.07158838554865343,0.19474072503624643,0.0,False,0.0
Great Britain,HARD,False,33,-0.005402050749552275,-0.549061604185922,59.17483971957797,0.05750614433088213,-0.005572220063931023,0.09312576468334577,0.30769230769230776,True,0.16121635597101394
Great Britain,MEDIUM,True,347,0.0,0.0,0.0,0.07231604628483448,0.05741249992293987,0.09424686213471795,1.0,True,0.16661840672056621
Hungary,MEDIUM,False,347,-0.15564509897861648,-0.6095759505276354,0.2843750350058425,0.07142303265820817,0.04682869319375504,0.09516390585468336,0.6585365853658539,True,0.0
Hungary,HARD,True,729,0.0,0.0,0.0,0.06920283165842794,0.05731449834641445,0.07982694449584701,1.0,True,0.15564509897861648
Hungary,SOFT,False,12,1.951551979087575,-3.563815909046752e-15,41.97051059034277,-0.11973076255366748,-0.125524837604191,0.0,0.0,False,2.1071970780661915
Netherlands,SOFT,False,93,-0.18325760236227923,-0.8018182825332069,0.5968788797557831,0.060861232573795214,0.03658254594988791,0.0976517084332087,0.42307692307692296,True,0.0
Netherlands,HARD,True,723,0.0,0.0,0.0,0.039412237086908254,0.03239771097991372,0.05477968309376047,1.0,True,0.18325760236227923
Netherlands,MEDIUM,False,432,0.24316886858410067,-0.16223080324313588,0.4555134033581393,0.045566967250460014,0.03503923615886327,0.06030388013547787,0.0,False,0.42642647094637987
Spain,SOFT,True,409,0.0,0.0,0.0,0.08985941992856146,0.07737429943726373,0.10507292849698642,1.0,True,0.0
Spain,MEDIUM,False,364,0.1327742246417765,-0.12399756351022455,0.3633270249077669,0.07747613128376059,0.06548433525721921,0.09265392763178047,0.2954545454545455,True,0.1327742246417765
Spain,HARD,False,318,0.24904128955124777,-0.06879397166405679,0.6578451203999193,0.08060422886433685,0.06653186105135532,0.09348046150506094,0.13725490196078433,False,0.24904128955124777
United States,MEDIUM,False,344,-0.3198265526848124,-0.8054076495988113,0.055595196250998714,0.03950945549038151,0.02813693810024985,0.058600801714264864,0.08823529411764694,False,0.0
United States,HARD,True,480,0.0,0.0,0.0,0.031219406422634755,0.015444631395512404,0.05049389890944197,1.0,True,0.3198265526848124
