Circuit,Compound,NStints,CentredPace,OffsetSec
Bahrain,HARD,74,-0.23375698581496715,0.0
Bahrain,SOFT,91,0.010823222648947596,0.24458020846391473
Bahrain,MEDIUM,21,0.7768144613930202,1.0105714472079874
Great Britain,MEDIUM,57,-0.14075665316322972,0.0
Great Britain,SOFT,43,-0.03998057638028707,0.10077607678294265
Great Britain,HARD,18,0.5412385563697918,0.6819952095330215
Hungary,SOFT,24,-0.2586503590562306,0.0
Hungary,MEDIUM,70,0.036718195920501885,0.29536855497673253
Hungary,HARD,67,0.054288580640515186,0.3129389396967458
Netherlands,HARD,34,-0.6731077428778484,0.0
Netherlands,MEDIUM,50,-0.6653852042035581,0.007722538674290291
Netherlands,SOFT,67,0.838133186089923,1.5112409289677715
Spain,HARD,36,-1.8634569485659054,0.0
Spain,SOFT,88,0.2183327718769603,2.0817897204428655
Spain,MEDIUM,60,0.7978527703866656,2.661309718952571
United States,SOFT,1,-1.7946851851851875,0.0
United States,MEDIUM,74,-0.18481490164279823,1.6098702835423893
United States,HARD,64,0.24173418604300156,2.036419371228189
