Circuit,Compound,NStints,CurvatureSecPerLap2,CurvatureCILow,CurvatureCIHigh,Usable,AppliedCurvature,ExcludedReason
Bahrain,HARD,60,0.0008491047297615728,-0.00021933708194740424,0.0018978262770206374,False,0.0,"interval includes zero, indistinguishable from linear"
Bahrain,MEDIUM,11,-0.0030840695962282695,-0.00564140738189491,-8.605900892556275e-05,False,0.0,"interval includes zero, indistinguishable from linear"
Bahrain,SOFT,37,-0.0006656069764906952,-0.003204418540978897,0.0017360631783326543,False,0.0,"interval includes zero, indistinguishable from linear"
Great Britain,HARD,14,-0.0019580037764197356,-0.004353998021742418,-0.0001414258243579774,False,0.0,"interval includes zero, indistinguishable from linear"
Great Britain,MEDIUM,49,0.001439245978472376,0.00032484806388707367,0.002799041633077869,True,0.001439245978472376,
Great Britain,SOFT,24,0.007378160160215481,0.0038767941779851212,0.011420652188792017,True,0.007378160160215481,
Hungary,HARD,65,0.0009130334542926749,0.00018759402387697645,0.0016727920847421287,True,0.0009130334542926749,
Hungary,MEDIUM,66,0.0013773913213616608,0.00014571883185128287,0.00287633982132485,True,0.0013773913213616608,
Hungary,SOFT,14,0.016551072532196467,0.008683498144291249,0.026782093191761197,True,0.016551072532196467,
Netherlands,HARD,27,-0.00023992074454579074,-0.0009747551640675218,0.0006049683099980279,False,0.0,"interval includes zero, indistinguishable from linear"
Netherlands,MEDIUM,41,-0.0001201027413157622,-0.0010527177092627263,0.000866453102372935,False,0.0,"interval includes zero, indistinguishable from linear"
Netherlands,SOFT,39,0.009749236254288899,0.001712767923253093,0.02438488096865056,True,0.009749236254288899,
Spain,HARD,35,-0.0005683094242090024,-0.0020747365781029286,0.0006918570966793917,False,0.0,"interval includes zero, indistinguishable from linear"
Spain,MEDIUM,54,-0.0011574622205668876,-0.0022705658654795756,-2.446436916961092e-05,False,0.0,"interval includes zero, indistinguishable from linear"
Spain,SOFT,60,0.0006091370144287893,-0.0011097248098548252,0.00247789137594815,False,0.0,"interval includes zero, indistinguishable from linear"
United States,HARD,56,0.001356097323300973,0.0003315606178193331,0.002304881523053422,True,0.001356097323300973,
United States,MEDIUM,49,0.0006869381391049843,-0.0008545612009974501,0.0022458419711795003,False,0.0,"interval includes zero, indistinguishable from linear"
