Circuit,Compound,NStints,NLaps,DegSecPerLap,DegCILow,DegCIHigh,StintSpread,Usable,ExcludedReason
Bahrain,HARD,37,668,0.1000676542474081,0.0917617858983607,0.10839932969188733,0.022318674665102643,True,
Bahrain,SOFT,25,246,0.12244184487256826,0.0958262415033667,0.15205999301280917,0.06069878015395753,True,
Great Britain,HARD,3,33,0.05252414853664822,-0.0005406388058844753,0.09798470428566784,0.04414818097451966,True,
Great Britain,MEDIUM,22,347,0.0666491214457168,0.05121411726907112,0.0814153188846271,0.032298722664155094,True,
Great Britain,SOFT,12,137,0.15392621170394793,0.08688125320044889,0.21939297554108855,0.12432510380623041,True,
Hungary,HARD,30,729,0.07963470968581157,0.06668375750577926,0.09490231896899383,0.047451070869780225,True,
Hungary,MEDIUM,18,347,0.07396263603205643,0.05240037598797061,0.09528333252293586,0.04879244534725215,True,
Hungary,SOFT,1,12,-0.10800000000000093,,,,False,"only 1 stint(s), need 3"
Netherlands,HARD,20,723,0.0488250290537355,0.04168383054583877,0.056754382415626144,0.02027541563048716,True,
Netherlands,MEDIUM,20,432,0.05333639285843014,0.0410496905367206,0.06685960424831827,0.03587076935526885,True,
Netherlands,SOFT,6,93,0.07300041975734568,0.045892432751740146,0.10646950982353627,0.040278022127201975,True,
Spain,HARD,13,318,0.07129703849799199,0.05025065633772388,0.09119193547304216,0.04582993262948457,True,
Spain,MEDIUM,19,364,0.07276538965651251,0.05803674694041123,0.0895320246201763,0.03303117717639458,True,
Spain,SOFT,29,409,0.09350301592593732,0.07130988388028535,0.1191653289833584,0.07649924097722774,True,
United States,HARD,19,480,0.020768760175436142,0.007966653573464235,0.03506670903825594,0.026539513155351163,True,
United States,MEDIUM,21,344,0.03399912137886361,0.013236861116254635,0.05685270768897025,0.0438903290306996,True,
