Season,Circuit,Driver,Stint,Compound,NLaps,TrainLaps,LinearSlope,LateStintExtraSeconds,DegradationAccelerates
2024,Synthetic Bay,D00,2.0,HARD,40,26,0.019463446062442814,0.16392823006018528,True
2024,Synthetic Bay,D01,1.0,HARD,28,18,0.019776136386836167,-0.07669640445507753,False
2024,Synthetic Bay,D01,2.0,SOFT,25,16,0.08988710009862426,0.23872893968755685,True
2024,Synthetic Bay,D02,2.0,HARD,42,28,0.0365810863699486,-0.5218258499672501,False
2024,Synthetic Bay,D03,1.0,HARD,20,13,0.0010391571253125318,0.3871858247972203,True
2024,Synthetic Bay,D03,2.0,MEDIUM,32,21,0.044968742360297576,-0.020734444649211137,False
2024,Synthetic Bay,D04,2.0,MEDIUM,21,14,0.06626044803476247,-0.24138297923972882,False
2024,Synthetic Bay,D04,3.0,HARD,15,10,0.007847098641590833,0.2269361114470371,True
2024,Synthetic Bay,D05,3.0,SOFT,28,18,0.08937387137768728,-0.06753862106213689,False
2024,Synthetic Bay,D06,1.0,MEDIUM,14,9,0.03531306840314041,0.45258376208042533,True
2024,Synthetic Bay,D06,2.0,SOFT,37,24,0.08605829063173663,-0.2866070150786551,False
2024,Synthetic Bay,D07,3.0,MEDIUM,24,16,0.06389935315408157,-0.1404970218277768,False
2024,Synthetic Bay,D08,1.0,SOFT,25,16,0.06727231817118312,0.36082904379170105,True
2024,Synthetic Bay,D08,2.0,HARD,28,18,0.014163793592656888,0.21090925569953925,True
2024,Synthetic Bay,D09,1.0,HARD,15,10,0.07283058833509888,-0.48013940196237287,False
2024,Synthetic Bay,D09,2.0,SOFT,36,24,0.07944914838733035,0.016922166821246993,True
2024,Synthetic Bay,D10,1.0,MEDIUM,18,12,0.049813479013589776,-0.05045414949802544,False
2024,Synthetic Bay,D10,2.0,HARD,34,22,0.0326575693051628,-0.28374359248613484,False
2024,Synthetic Bay,D11,1.0,HARD,16,10,0.0041022276463399026,0.1698467374142112,True
2024,Synthetic Bay,D11,2.0,MEDIUM,35,23,0.04756791190376042,0.1843931051518576,True
2024,Synthetic Bay,D12,2.0,MEDIUM,15,10,0.00881621599023911,0.09497360553755244,True
2024,Synthetic Bay,D12,3.0,HARD,22,14,0.031598134856076224,-0.3274200790737467,False
2024,Synthetic Bay,D13,2.0,MEDIUM,22,14,0.04034833981720887,0.26169607062075606,True
2024,Synthetic Bay,D13,3.0,SOFT,16,10,0.12564578996970965,-0.27374721899205906,False
2024,Synthetic Bay,D14,1.0,MEDIUM,28,18,0.03290488393858482,0.30494265225615746,True
2024,Synthetic Bay,D14,2.0,SOFT,22,14,0.0761260601986109,0.1147145024694396,True
2024,Synthetic Bay,D15,3.0,MEDIUM,39,26,0.05070454933210774,-0.03046136969846294,False
2024,Synthetic Park,D00,1.0,SOFT,23,15,0.07244907283193551,0.508398398125113,True
2024,Synthetic Park,D00,2.0,HARD,23,15,0.019894295167769575,0.031216155930676948,True
2024,Synthetic Park,D01,1.0,HARD,14,9,0.05647559340982629,-0.1475514769553911,False
2024,Synthetic Park,D01,2.0,SOFT,28,18,0.08506828295828307,-0.2685277259936584,False
2024,Synthetic Park,D02,1.0,MEDIUM,18,12,0.04236446714914521,0.1111050914988354,True
2024,Synthetic Park,D02,2.0,HARD,30,20,0.013125658135131444,0.25039636630996964,True
2024,Synthetic Park,D03,1.0,HARD,18,12,0.039951154015109666,0.09335425627156724,True
2024,Synthetic Park,D03,2.0,MEDIUM,26,17,0.06413351507640114,-0.47825969317302647,False
2024,Synthetic Park,D04,3.0,HARD,23,15,0.01754458816492185,0.12996163903851965,True
2024,Synthetic Park,D05,3.0,SOFT,26,17,0.07349779961491013,0.18101817675145546,True
2024,Synthetic Park,D06,1.0,MEDIUM,14,9,0.028779773308728572,0.21972001246764705,True
2024,Synthetic Park,D06,2.0,SOFT,30,20,0.07497678476631162,0.11830103291465974,True
2024,Synthetic Park,D07,3.0,MEDIUM,28,18,0.02770162916025498,0.5027525118682519,True
2024,Synthetic Park,D08,1.0,SOFT,19,12,0.10092939117065411,-0.2908040121622731,False
2024,Synthetic Park,D08,2.0,HARD,27,18,0.04377502290127136,-0.2533052329091024,False
2024,Synthetic Park,D09,1.0,HARD,30,20,0.032601906985321415,-0.15465632138024432,False
2024,Synthetic Park,D09,2.0,SOFT,17,11,0.10212583863577862,-0.44657321132373795,False
2024,Synthetic Park,D10,1.0,MEDIUM,29,19,0.04008521564433514,0.17970715525916175,True
2024,Synthetic Park,D10,2.0,HARD,17,11,0.05686509062722779,-0.01897883053441281,False
2024,Synthetic Park,D11,1.0,HARD,15,10,0.03732787354140247,0.09566128507979102,True
2024,Synthetic Park,D11,2.0,MEDIUM,32,21,0.0611185086180148,-0.4810223931629258,False
2024,Synthetic Park,D12,2.0,MEDIUM,19,12,0.09058444824165887,-0.556977240819206,False
2024,Synthetic Park,D13,1.0,HARD,14,9,-0.051485983530466586,0.7002754958739444,True
2024,Synthetic Park,D13,3.0,SOFT,18,12,0.04176141418903541,0.3883500734350112,True
2024,Synthetic Park,D14,1.0,MEDIUM,17,11,0.040382863388133086,0.021114502582416133,True
2024,Synthetic Park,D14,2.0,SOFT,27,18,0.0879706762801753,-0.0005787744926553589,False
2024,Synthetic Park,D15,3.0,MEDIUM,30,20,0.04000020252568515,0.023028873003582362,True
2024,Synthetic Ring,D00,1.0,SOFT,15,10,0.07768164800041269,0.26176784919973384,True
2024,Synthetic Ring,D00,2.0,HARD,20,13,0.01882121381110243,0.2628921838305059,True
2024,Synthetic Ring,D01,1.0,HARD,15,10,0.03446980026054973,0.06053540308938636,True
2024,Synthetic Ring,D01,2.0,SOFT,18,12,0.09829012253854114,0.18588155917263074,True
2024,Synthetic Ring,D02,2.0,HARD,28,18,0.02806030846864438,0.17895841999691556,True
2024,Synthetic Ring,D03,2.0,MEDIUM,24,16,0.03973267010022567,0.11891537108535921,True
2024,Synthetic Ring,D04,3.0,HARD,16,10,-0.033270083852909235,0.5055233770573556,True
2024,Synthetic Ring,D05,2.0,MEDIUM,14,9,0.03910127308939574,0.2925254070500415,True
2024,Synthetic Ring,D06,2.0,SOFT,27,18,0.08727168568438042,0.1895771010014755,True
2024,Synthetic Ring,D07,3.0,MEDIUM,20,13,0.04146158354923617,-0.016495536063307066,False
2024,Synthetic Ring,D08,2.0,HARD,21,14,0.03400635327598659,-0.02886107551016234,False
2024,Synthetic Ring,D09,2.0,SOFT,22,14,0.09923213997561829,-0.2532957361672601,False
2024,Synthetic Ring,D10,2.0,HARD,23,15,0.04819014008057617,-0.28426476188788463,False
2024,Synthetic Ring,D11,2.0,MEDIUM,26,17,0.01670639354262017,0.881168111820508,True
