Season,Circuit,Driver,Stint,Team,Compound,NLaps,TyreLifeStart,TyreLifeEnd,SlopeSecPerLap,SlopeCILow,SlopeCIHigh,InterceptSec,ResidualStd
2024,Synthetic Bay,D00,1.0,Team0,SOFT,10,3.0,19.0,0.057456885975333515,0.029522334022627206,0.07576510485966992,92.76875565966806,0.11884871314029127
2024,Synthetic Bay,D00,2.0,Team0,HARD,40,4.0,43.0,0.022563712688966536,0.01326482627874165,0.03256447379880548,93.58048003193649,0.3023906323434537
2024,Synthetic Bay,D01,1.0,Team0,HARD,28,3.0,34.0,0.01971522246996121,0.008039275655775668,0.03283088831537155,93.10266114098104,0.262303783654115
2024,Synthetic Bay,D01,2.0,Team0,SOFT,25,3.0,28.0,0.08924067186055486,0.06905441985700074,0.10822926172122607,92.30269574218751,0.3372648101282468
2024,Synthetic Bay,D02,1.0,Team1,MEDIUM,11,3.0,13.0,0.030635682475886956,-0.008810178901631124,0.11910123748276291,92.6442327336828,0.2800330344863397
2024,Synthetic Bay,D02,2.0,Team1,HARD,42,3.0,44.0,0.017989024071284478,0.009609424897704253,0.02505768704757421,93.1421520024836,0.40895061830652707
2024,Synthetic Bay,D03,1.0,Team1,HARD,20,3.0,26.0,0.020412827680651488,-1.3698322738108751e-05,0.040686902686658755,93.72962314199918,0.25226510079556763
2024,Synthetic Bay,D03,2.0,Team1,MEDIUM,32,3.0,36.0,0.04471095575135801,0.03269013324684641,0.053842602208416294,93.117968470086,0.2808789258562449
2024,Synthetic Bay,D04,1.0,Team2,SOFT,13,3.0,20.0,0.0845035056968426,0.05383515486948521,0.11646444149874391,92.07749879256603,0.2267583108598141
2024,Synthetic Bay,D04,2.0,Team2,MEDIUM,21,3.0,23.0,0.03836808831246312,0.011945870088268862,0.07375414088092214,92.67592075311555,0.4258454284657954
2024,Synthetic Bay,D04,3.0,Team2,HARD,15,3.0,18.0,0.03589885329148611,0.007847098641590833,0.06755883097641592,92.82582543698881,0.2169773742082624
2024,Synthetic Bay,D05,1.0,Team2,HARD,11,3.0,13.0,0.014929005810373042,-0.0953166271957766,0.1078939927406175,92.80833821429759,0.40588853816812
2024,Synthetic Bay,D05,2.0,Team2,MEDIUM,13,5.0,17.0,0.05050782265309956,-0.018114129394696477,0.1101331700429938,92.21708738851824,0.26913928869919695
2024,Synthetic Bay,D05,3.0,Team2,SOFT,28,3.0,31.0,0.08276046919305524,0.06991106722525485,0.09711147141329146,91.68904954434228,0.2813680190709099
2024,Synthetic Bay,D06,1.0,Team3,MEDIUM,14,3.0,21.0,0.06824389522766777,0.039511595360545826,0.09509497134318205,91.6202814136251,0.21538546040011144
2024,Synthetic Bay,D06,2.0,Team3,SOFT,37,3.0,41.0,0.0815020248332922,0.07089772919892313,0.08811537653355504,91.42439530273369,0.3233292466600995
2024,Synthetic Bay,D07,1.0,Team3,SOFT,13,3.0,19.0,0.0787314422020747,0.0347855132668463,0.11052903142255031,92.51264516836666,0.21090878750455352
2024,Synthetic Bay,D07,2.0,Team3,HARD,9,3.0,11.0,-0.0026385571860638194,-0.05380685056958896,0.1350616851127242,93.45674857886473,0.2892525019789606
2024,Synthetic Bay,D07,3.0,Team3,MEDIUM,24,3.0,30.0,0.05073504739187494,0.025438286813712806,0.07203145799445565,92.7309574591222,0.42366595347072156
2024,Synthetic Bay,D08,1.0,Team4,SOFT,25,3.0,31.0,0.08947363883601639,0.07646162050763256,0.10119662888542773,91.79289296369598,0.29326756720897457
2024,Synthetic Bay,D08,2.0,Team4,HARD,28,3.0,31.0,0.02097590250728794,0.008130248400534236,0.03291638057302665,93.07532723630966,0.2591376717639367
2024,Synthetic Bay,D09,1.0,Team4,HARD,15,3.0,21.0,0.036098481862911314,0.010007055148975041,0.06832294504442059,92.24547236859672,0.22156269993715974
2024,Synthetic Bay,D09,2.0,Team4,SOFT,36,3.0,41.0,0.08193184538125063,0.07117042265096529,0.08875333194851483,91.51441095660243,0.28545192579421375
2024,Synthetic Bay,D10,1.0,Team5,MEDIUM,18,3.0,26.0,0.03942500822250471,0.011581465964450643,0.05908362293479854,91.7428364825182,0.31586275786439094
2024,Synthetic Bay,D10,2.0,Team5,HARD,34,3.0,36.0,0.022228574374399474,0.013548948029352026,0.032701528897054764,92.17815483726521,0.2552820902945958
2024,Synthetic Bay,D11,1.0,Team5,HARD,16,3.0,23.0,0.020623111161566295,-0.004052636374004643,0.047544784249373605,92.36833508332093,0.24664713626978896
2024,Synthetic Bay,D11,2.0,Team5,MEDIUM,35,3.0,39.0,0.04992668144256449,0.041452873581728035,0.06008026237730885,91.55454276832104,0.2637051921328628
2024,Synthetic Bay,D12,1.0,Team6,SOFT,11,3.0,14.0,0.04129829361704651,0.007230960095391481,0.05032163214714558,93.11837002049566,0.13387755110750604
2024,Synthetic Bay,D12,2.0,Team6,MEDIUM,15,3.0,18.0,0.02163652918918994,-0.012095753628342957,0.06988409791578458,93.38803485545365,0.2838703283936365
2024,Synthetic Bay,D12,3.0,Team6,HARD,22,3.0,28.0,0.011406815593206332,-0.005554495341606803,0.03628532606371401,93.82969924408226,0.3214163914208087
2024,Synthetic Bay,D13,1.0,Team6,HARD,12,3.0,14.0,0.025345274030982523,-0.07111223764900997,0.0954889104333958,92.90234173395675,0.36823303023067244
2024,Synthetic Bay,D13,2.0,Team6,MEDIUM,22,3.0,24.0,0.05107347742471783,0.027078874139790265,0.0735417517878858,92.269504711097,0.2858292069449356
2024,Synthetic Bay,D13,3.0,Team6,SOFT,16,3.0,19.0,0.11253902914348085,0.08758938386187205,0.1392742719378172,91.5798996739571,0.2089017968511947
2024,Synthetic Bay,D14,1.0,Team7,MEDIUM,28,3.0,36.0,0.0456451987952212,0.03182749215538028,0.059133486331753256,92.22430385814495,0.32109599490436525
2024,Synthetic Bay,D14,2.0,Team7,SOFT,22,3.0,26.0,0.07355294501155996,0.05318832981218513,0.09343498058878108,92.25091879317415,0.32436534206831663
2024,Synthetic Bay,D15,1.0,Team7,SOFT,8,3.0,10.0,0.0935364893981235,-0.04008289859240577,0.21206099333146256,92.47373503936898,0.2519292564094068
2024,Synthetic Bay,D15,3.0,Team7,MEDIUM,39,3.0,41.0,0.04792855544366622,0.041737226878904465,0.05493182028002034,92.95895988764084,0.21903855457305374
2024,Synthetic Park,D00,1.0,Team0,SOFT,23,3.0,27.0,0.09353154677378228,0.07424043287751374,0.11111257957064069,91.96622291975638,0.256187357032997
2024,Synthetic Park,D00,2.0,Team0,HARD,23,3.0,29.0,0.018238045455392538,0.00480063473836896,0.034020379043729905,93.12518376584157,0.2821787833662134
2024,Synthetic Park,D01,1.0,Team0,HARD,14,5.0,19.0,0.04064372944085794,0.019889240486804738,0.059649101164557315,91.72103647003891,0.12268853025351646
2024,Synthetic Park,D01,2.0,Team0,SOFT,28,3.0,36.0,0.0838414456008523,0.0713543306519969,0.09507032825585189,91.131388565916,0.28378365057495775
2024,Synthetic Park,D02,1.0,Team1,MEDIUM,18,3.0,20.0,0.051595485702470176,0.02198639837985894,0.07820202021926075,92.40354705989625,0.24421861634006092
2024,Synthetic Park,D02,2.0,Team1,HARD,30,3.0,36.0,0.020263471383279195,0.011710066994785445,0.03130892382347857,92.96477004441633,0.2604493941863551
2024,Synthetic Park,D03,1.0,Team1,HARD,18,4.0,22.0,0.04341666209763214,0.01915612319107633,0.06525862224402879,92.55735839792403,0.22082327756377426
2024,Synthetic Park,D03,2.0,Team1,MEDIUM,26,3.0,34.0,0.044494160909623916,0.03321125166730275,0.055996173255780685,92.53401825661355,0.2608995309458225
2024,Synthetic Park,D04,1.0,Team2,SOFT,6,3.0,9.0,0.004396228675108915,-0.06924621878722803,0.08439276024012088,92.3304309381385,0.1309879240887292
2024,Synthetic Park,D04,2.0,Team2,MEDIUM,12,3.0,14.0,0.03592141337404264,-0.0023311951266471453,0.04963950633020531,92.45271506550759,0.15827316958874107
2024,Synthetic Park,D04,3.0,Team2,HARD,23,3.0,31.0,0.024274557498210052,0.013405174288825391,0.03427694304503758,92.8211928137858,0.225471626765374
2024,Synthetic Park,D05,1.0,Team2,HARD,10,3.0,13.0,0.03448518336357154,-0.01946214291255899,0.08594566110884472,92.21249258925758,0.22290194312880626
2024,Synthetic Park,D05,3.0,Team2,SOFT,26,3.0,34.0,0.08601213612077595,0.07331650559898376,0.09694972331932217,91.11077786567066,0.2808302624929988
2024,Synthetic Park,D06,1.0,Team3,MEDIUM,14,3.0,18.0,0.038880583596741757,0.019359694246418258,0.059420206346092644,92.47383830911087,0.257347875974407
2024,Synthetic Park,D06,2.0,Team3,SOFT,30,3.0,38.0,0.07509969869533767,0.06621263333003871,0.08440481540490055,92.23442178376544,0.2394978539751381
