Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,Bahrain,ALB,1.0,SOFT,10,0.6871925609019118,0.6139248140637397,True
2022,Bahrain,ALB,2.0,MEDIUM,19,0.4146656010038784,0.3494803017947021,True
2022,Bahrain,ALO,2.0,MEDIUM,10,0.451842604507758,0.3737810871807082,True
2022,Bahrain,ALO,3.0,HARD,14,0.27067248407327515,0.31354375027210796,False
2022,Bahrain,BOT,1.0,SOFT,12,0.39941311114747885,0.4380575947984351,False
2022,Bahrain,BOT,2.0,MEDIUM,19,0.501438507383489,0.5488524754062254,False
2022,Bahrain,GAS,1.0,SOFT,12,0.12876337998447926,0.1597833301416752,False
2022,Bahrain,GAS,2.0,MEDIUM,14,0.1625736455889631,0.1672027137294892,False
2022,Bahrain,HAM,2.0,HARD,13,0.46289907642419453,0.43047588096519035,True
2022,Bahrain,HAM,3.0,MEDIUM,13,0.35573681175969474,0.3625359978404538,False
2022,Bahrain,HUL,1.0,SOFT,15,0.717912102797,0.759310318087138,False
2022,Bahrain,HUL,2.0,SOFT,14,0.979328226153431,0.9267145340943194,True
2022,Bahrain,LAT,1.0,SOFT,11,0.39977113877735987,0.41780948010634655,False
2022,Bahrain,LAT,2.0,SOFT,15,0.5362381318981714,0.545271640617789,False
2022,Bahrain,LEC,1.0,SOFT,12,0.10750327015995607,0.12722672257629608,False
2022,Bahrain,LEC,2.0,SOFT,13,0.2499666326827217,0.1928350563063939,True
2022,Bahrain,LEC,3.0,MEDIUM,12,0.10663881486148671,0.11778044107201606,False
2022,Bahrain,MAG,1.0,SOFT,10,0.45042097463545244,0.3246557807373236,True
2022,Bahrain,MAG,2.0,SOFT,18,0.10061308236624306,0.08620174219731812,True
2022,Bahrain,MSC,2.0,MEDIUM,20,0.39138832700752363,0.40578884884682753,False
2022,Bahrain,MSC,3.0,SOFT,13,0.6539893987310782,0.5731606703900315,True
2022,Bahrain,NOR,1.0,MEDIUM,20,0.6265466863561068,0.548522267193288,True
2022,Bahrain,NOR,2.0,HARD,14,0.8741995322432459,1.0280169177397778,False
2022,Bahrain,OCO,1.0,SOFT,11,0.1372055986886888,0.14986159630262866,False
2022,Bahrain,OCO,2.0,MEDIUM,13,0.5139319487118593,0.5454123799662617,False
2022,Bahrain,OCO,3.0,HARD,10,0.23054582669859658,0.29275854984965566,False
2022,Bahrain,PER,1.0,SOFT,12,0.34283365231384183,0.3710899058353791,False
2022,Bahrain,PER,2.0,MEDIUM,15,0.1630479144780681,0.12194897251280025,True
2022,Bahrain,RIC,1.0,MEDIUM,13,0.5560358869499106,0.6451597068467158,False
2022,Bahrain,RIC,2.0,SOFT,12,0.3207930342460072,0.24643492954267487,True
2022,Bahrain,RUS,1.0,SOFT,12,0.2865851322652039,0.27458228165459236,True
