Season,Circuit,PitLossMedian,PitLossIQR,NStops
2022,Bahrain,24.715000000000003,2.4050000000000296,33
2022,Great Britain,22.238500000000002,2.3052499999999796,18
2022,Hungary,23.44999999999999,2.7409999999999997,31
2022,Netherlands,22.47800000000001,2.2959999999999923,30
2022,Spain,22.676999999999992,2.2679999999999865,51
2022,United States,20.614500000000007,4.122,26
2023,Bahrain,24.337000000000003,3.717000000000013,44
2023,Great Britain,19.73100000000001,2.315749999999973,10
2023,Hungary,21.388500000000022,2.0130000000000265,36
2023,Netherlands,30.768,22.007000000000005,63
2023,Spain,23.86100000000002,1.6369999999999862,43
2023,United States,21.004499999999993,1.3177499999999753,36
2024,Bahrain,24.271000000000015,1.3449999999999704,37
2024,Great Britain,25.34700000000001,4.4339999999999975,45
2024,Hungary,20.364000000000004,2.0515000000000043,40
2024,Netherlands,23.086499999999972,1.7935000000000159,26
2024,Spain,22.787000000000006,1.7124999999999986,42
2024,United States,21.99600000000001,2.1409999999999627,21
