Circuit,Compound,NSeasons,Seasons,MinDeg,MaxDeg,SpreadSecPerLap,SeasonsDisagree
Netherlands,SOFT,3,"2022,2023,2024",-0.1688803204800036,0.09519544584500411,0.26407576632500773,True
Great Britain,SOFT,3,"2022,2023,2024",0.048045311315838946,0.15392621170394793,0.10588090038810899,True
Hungary,SOFT,2,"2022,2023",0.02553095238094991,0.1277392861489244,0.1022083337679745,False
Spain,SOFT,3,"2022,2023,2024",0.0699139404830331,0.15119298906560813,0.08127904858257504,True
United States,MEDIUM,3,"2022,2023,2024",0.03399912137886361,0.08472598827454549,0.05072686689568188,False
Spain,MEDIUM,3,"2022,2023,2024",0.05481216298935619,0.10488335512675606,0.05007119213739987,True
Bahrain,SOFT,3,"2022,2023,2024",0.12244184487256826,0.17134558128275232,0.04890373641018406,False
Bahrain,HARD,3,"2022,2023,2024",0.09724306087582395,0.14488619052775953,0.04764312965193558,True
Great Britain,MEDIUM,3,"2022,2023,2024",0.02243424817581971,0.0666491214457168,0.04421487326989709,True
United States,HARD,3,"2022,2023,2024",0.020768760175436142,0.0648622145033323,0.04409345432789615,True
Netherlands,MEDIUM,3,"2022,2023,2024",0.016361515045076474,0.059678043199841345,0.043316528154764875,True
Hungary,HARD,3,"2022,2023,2024",0.039844331660700914,0.07963470968581157,0.03979037802511066,False
Great Britain,HARD,3,"2022,2023,2024",0.01724285643843507,0.05252414853664822,0.03528129209821315,False
Hungary,MEDIUM,3,"2022,2023,2024",0.049080452408785814,0.0807452843624337,0.03166483195364788,True
Netherlands,HARD,2,"2022,2024",0.03984687960583659,0.0488250290537355,0.00897814944789891,False
Spain,HARD,2,"2023,2024",0.06774355327254906,0.07129703849799199,0.0035534852254429233,False
