Circuit,FuelStartKg,FuelEffectSPerKg,BestOneStopLap,BestOneStopPlan,RecommendedStops,SoftDeg,MediumDeg,HardDeg
Bahrain,90.0,0.03,,,2,0.10840675715326949,,0.08603256652810991
Great Britain,90.0,0.03,,,2,0.13854159631933338,0.051264506061103096,0.03713953315203273
Hungary,90.0,0.03,36.0,HARD->MEDIUM,2,,0.06253406460348507,0.06820613825724023
Netherlands,90.0,0.03,46.0,HARD->SOFT,1,0.061889308646234036,0.04222528174731957,0.03771391794262428
Spain,90.0,0.03,33.0,HARD->MEDIUM,2,0.08138180380472491,0.06064417753530009,0.05917582637677971
United States,90.0,0.03,30.0,HARD->MEDIUM,1,,0.019713407093150087,0.006483045889721642
Bahrain,90.0,0.035,,,2,0.11630149399537484,,0.09392730337021515
Great Britain,90.0,0.035,,,2,0.14719544247317906,0.059918352214948206,0.04579337930587947
Hungary,90.0,0.035,36.0,HARD->MEDIUM,2,,0.06896263603205645,0.07463470968581169
Netherlands,90.0,0.035,46.0,HARD->SOFT,2,0.06813930864623495,0.04847528174731905,0.0439639179426243
Spain,90.0,0.035,33.0,HARD->MEDIUM,2,0.08819998562290739,0.06746235935348191,0.06599400819496241
United States,90.0,0.035,29.0,HARD->MEDIUM,1,,0.027749121378863654,0.014518760175436182
Bahrain,90.0,0.04,,,2,0.12419623083748066,,0.10182204021232047
Great Britain,90.0,0.04,,,2,0.15584928862702557,0.06857219836879462,0.05444722545972593
Hungary,90.0,0.04,36.0,HARD->MEDIUM,2,,0.07539120746062804,0.08106328111438285
Netherlands,90.0,0.04,46.0,HARD->SOFT,2,0.07438930864623426,0.054725281747319734,0.050213917942624475
Spain,90.0,0.04,33.0,HARD->MEDIUM,2,0.09501816744108883,0.07428054117166404,0.07281219001314385
United States,90.0,0.04,29.0,HARD->MEDIUM,1,,0.03578483566457789,0.02255447446115043
Bahrain,100.0,0.03,,,2,0.11366991504800686,,0.09129572442284692
Great Britain,100.0,0.03,,,2,0.14431082708856457,0.05703373683033371,0.04290876392126412
Hungary,100.0,0.03,36.0,HARD->MEDIUM,2,,0.06681977888919932,0.07249185254295432
Netherlands,100.0,0.03,46.0,HARD->SOFT,2,0.0660559753129007,0.0463919484139859,0.04188058460929093
Spain,100.0,0.03,33.0,HARD->MEDIUM,2,0.08592725835017992,0.06518963208075473,0.06372128092223449
United States,100.0,0.03,30.0,HARD->MEDIUM,1,,0.02507054995029225,0.011840188746864518
Bahrain,100.0,0.035,,,2,0.12244184487256826,,0.1000676542474081
Great Britain,100.0,0.035,,,2,0.15392621170394793,0.0666491214457168,0.05252414853664822
Hungary,100.0,0.035,36.0,HARD->MEDIUM,2,,0.07396263603205643,0.07963470968581157
Netherlands,100.0,0.035,46.0,HARD->SOFT,2,0.07300041975734568,0.05333639285843014,0.0488250290537355
Spain,100.0,0.035,33.0,HARD->MEDIUM,2,0.09350301592593732,0.07276538965651251,0.07129703849799199
United States,100.0,0.035,29.0,HARD->MEDIUM,1,,0.03399912137886361,0.020768760175436142
Bahrain,100.0,0.04,,,2,0.13121377469712925,,0.10883958407196954
Great Britain,100.0,0.04,,,2,0.16354159631933265,0.0762645060611014,0.06213953315203224
Hungary,100.0,0.04,36.0,HARD->MEDIUM,2,,0.08110549317491313,0.0867775668286686
Netherlands,100.0,0.04,46.0,HARD->SOFT,2,0.07994486420179048,0.06028083730287512,0.05576947349817983
Spain,100.0,0.04,33.0,HARD->MEDIUM,2,0.10107877350169475,0.08034114723226962,0.0788727960737501
United States,100.0,0.04,29.0,HARD->MEDIUM,1,,0.04292769280743496,0.029697331604007757
Bahrain,110.0,0.03,,,2,0.1189330729427439,,0.09655888231758361
Great Britain,110.0,0.03,,,2,0.15008005785779505,0.06280296759956361,0.04867799469049485
Hungary,110.0,0.03,36.0,HARD->MEDIUM,2,,0.0711054931749133,0.0767775668286689
Netherlands,110.0,0.03,46.0,HARD->SOFT,2,0.07022264197956829,0.05055861508065271,0.04604725127595759
Spain,110.0,0.03,33.0,HARD->MEDIUM,2,0.0904727128956344,0.06973508662620921,0.06826673546768929
United States,110.0,0.03,29.0,HARD->MEDIUM,1,,0.03042769280743461,0.01719733160400761
Bahrain,110.0,0.035,,,2,0.1285821957497619,,0.10620800512460125
Great Britain,110.0,0.035,,,2,0.16065698093471828,0.0733798906764869,0.0592549177674183
Hungary,110.0,0.035,36.0,HARD->MEDIUM,2,,0.07896263603205657,0.08463470968581144
Netherlands,110.0,0.035,46.0,HARD->SOFT,2,0.07786153086845643,0.05819750396954135,0.053686140164846734
Spain,110.0,0.035,33.0,HARD->MEDIUM,2,0.09880604622896758,0.0780684199595424,0.07660006880102284
United States,110.0,0.035,29.0,HARD->MEDIUM,1,,0.04024912137886356,0.0270187601754361
Bahrain,110.0,0.04,,,2,0.13823131855677934,,0.11585712793161901
Great Britain,110.0,0.04,,,2,0.1712339040116406,0.0839568137534102,0.06983184084434017
Hungary,110.0,0.04,36.0,HARD->MEDIUM,2,,0.08681977888919902,0.09249185254295458
Netherlands,110.0,0.04,46.0,HARD->SOFT,2,0.08550041975734543,0.06583639285843058,0.061325029053735464
Spain,110.0,0.04,33.0,HARD->MEDIUM,2,0.10713937956230102,0.08640175329287605,0.08493340213435543
United States,110.0,0.04,29.0,HARD->MEDIUM,1,,0.05007054995029192,0.03684018874686482
