Circuit,UndercutGainSeconds,BestOneStopLap,RecommendedStops,MedianFirstStopLap,StopLapError,TwoStopMinusOneStopSeconds
Bahrain,0.0,,2,12.5,,
Great Britain,0.0,,2,26.0,,
Hungary,0.0,36.0,2,16.0,20.0,-14.392896117045595
Netherlands,0.0,46.0,2,27.5,18.5,-4.611699582977849
Spain,0.0,33.0,2,15.0,18.0,-4.722191394683364
United States,0.0,29.0,1,26.0,3.0,13.049271668644273
Bahrain,1.0,,2,12.5,,
Great Britain,1.0,,2,26.0,,
Hungary,1.0,36.0,2,16.0,20.0,-15.392896117045595
Netherlands,1.0,46.0,2,27.5,18.5,-5.611699582977849
Spain,1.0,33.0,2,15.0,18.0,-5.722191394683364
United States,1.0,29.0,1,26.0,3.0,12.049271668644273
Bahrain,2.0,,2,12.5,,
Great Britain,2.0,,2,26.0,,
Hungary,2.0,36.0,2,16.0,20.0,-16.392896117045595
Netherlands,2.0,46.0,2,27.5,18.5,-6.611699582977849
Spain,2.0,33.0,2,15.0,18.0,-6.722191394683364
United States,2.0,29.0,1,26.0,3.0,11.049271668644266
Bahrain,3.0,,2,12.5,,
Great Britain,3.0,,2,26.0,,
Hungary,3.0,36.0,2,16.0,20.0,-17.392896117045595
Netherlands,3.0,46.0,2,27.5,18.5,-7.611699582977849
Spain,3.0,33.0,2,15.0,18.0,-7.722191394683364
United States,3.0,29.0,1,26.0,3.0,10.049271668644266
Bahrain,4.0,,2,12.5,,
Great Britain,4.0,,2,26.0,,
Hungary,4.0,36.0,2,16.0,20.0,-18.392896117045595
Netherlands,4.0,46.0,2,27.5,18.5,-8.611699582977849
Spain,4.0,33.0,2,15.0,18.0,-8.722191394683364
United States,4.0,29.0,1,26.0,3.0,9.049271668644266
Bahrain,6.0,,2,12.5,,
Great Britain,6.0,,2,26.0,,
Hungary,6.0,36.0,2,16.0,20.0,-20.392896117045595
Netherlands,6.0,46.0,2,27.5,18.5,-10.611699582977849
Spain,6.0,33.0,2,15.0,18.0,-10.722191394683364
United States,6.0,29.0,1,26.0,3.0,7.049271668644266
Bahrain,8.0,,2,12.5,,
Great Britain,8.0,,2,26.0,,
Hungary,8.0,36.0,2,16.0,20.0,-22.392896117045595
Netherlands,8.0,46.0,2,27.5,18.5,-12.611699582977849
Spain,8.0,33.0,2,15.0,18.0,-12.722191394683364
United States,8.0,29.0,1,26.0,3.0,5.049271668644266
Bahrain,10.0,,2,12.5,,
Great Britain,10.0,,2,26.0,,
Hungary,10.0,36.0,2,16.0,20.0,-24.392896117045595
Netherlands,10.0,46.0,2,27.5,18.5,-14.611699582977849
Spain,10.0,33.0,2,15.0,18.0,-14.722191394683364
United States,10.0,29.0,1,26.0,3.0,3.0492716686442662
